ticker,cik,name,status,has_ai_disclosure,total_ai_mentions,risk_text_length,cat_core_ai,cat_ai_tech,cat_ai_risk,cat_ai_infra,cat_ai_regulation,cat_mit4_malicious,cat_mit5_human,cat_mit6_socio,cat_mit6_environ,cat_mit7_safety,kw_nvidia,kw_data_center,kw_gpu,kw_sustainability,kw_compute,kw_ai_model,kw_misuse,kw_eu_ai_act,kw_generative_ai,kw_llm,kw_bias,kw_artificial_intelligence,kw_machine_learning,kw_large_language_model,kw_algorithm,kw_monopol,kw_ai_system,kw_ai_regulation,kw_disinformation,kw_misinformation,kw_environmental_impact,kw_automation,kw_energy_consumption,kw_autonomous,kw_cyberattack,kw_manipulation,kw_agentic,kw_training_data,kw_ai_agent,kw_data_center_energy,kw_ai_governance,kw_responsible_ai,kw_computer_vision,kw_carbon_footprint,kw_robotics,kw_labor_disruption,kw_uncontrollable,kw_misalignment,kw_human_oversight,kw_ai_safety,kw_explainability,kw_dual-use,kw_nlp,kw_predictive_analytics,kw_adversarial,kw_ai_legislation,kw_hallucination,kw_neural_network,kw_ai_ethics,kw_algorithmic_accountability,kw_natural_language_processing,kw_overreliance,kw_job_displacement,kw_jailbreak,kw_weaponiz,kw_deep_learning,kw_over-reliance
APH,820313,AMPHENOL CORP /DE/,analyzed,True,35,86101.0,5.0,2.0,0.0,4.0,0.0,6.0,0.0,1.0,17.0,0.0,,1.0,,17.0,3.0,,2.0,,,1.0,,2.0,2.0,,,,,,,,,2.0,,,4.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
ANET,1596532,"Arista Networks, Inc.",analyzed,True,25,201081.0,13.0,1.0,1.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,3.0,,,1.0,3.0,2.0,,2.0,1.0,1.0,3.0,4.0,,,,,,,,,,,1.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KLAC,319201,KLA CORP,analyzed,True,13,124822.0,0.0,1.0,1.0,3.0,0.0,3.0,0.0,0.0,5.0,0.0,,,,5.0,3.0,,1.0,,,,1.0,,,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPGI,64040,S&P Global Inc.,analyzed,True,14,87151.0,3.0,1.0,2.0,4.0,0.0,0.0,1.0,0.0,2.0,1.0,,2.0,,1.0,2.0,,,,,,2.0,1.0,,,,,2.0,,,,,,1.0,,,1.0,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,
COF,927628,CAPITAL ONE FINANCIAL CORP,analyzed,True,27,202368.0,7.0,4.0,1.0,4.0,0.0,6.0,5.0,0.0,0.0,0.0,,,,,4.0,,6.0,,4.0,,1.0,1.0,2.0,,1.0,,,,,,,1.0,,,,5.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,
ADBE,796343,ADOBE INC.,analyzed,True,40,66498.0,16.0,0.0,4.0,12.0,1.0,4.0,2.0,0.0,1.0,0.0,,8.0,,,3.0,3.0,2.0,1.0,8.0,,1.0,3.0,1.0,,,,1.0,3.0,1.0,1.0,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GILD,882095,"GILEAD SCIENCES, INC.",analyzed,True,11,146218.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,1.0,2.0,,,,,4.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
PFE,78003,PFIZER INC,analyzed,True,10,188174.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,,,,4.0,,,1.0,,,,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,
LOW,60667,LOWES COMPANIES INC,no_risk_section,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PGR,80661,PROGRESSIVE CORP/OH/,analyzed,True,23,71871.0,6.0,5.0,1.0,1.0,1.0,5.0,0.0,0.0,4.0,0.0,,1.0,,4.0,,1.0,,,1.0,,1.0,3.0,1.0,,1.0,,,,,,,,,4.0,5.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
